epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
2,0.440807484824483,0.9858536585365854,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
3,0.4228344331718072,0.9921951219512196,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
4,0.4068357647919073,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
5,0.4016838108039484,0.9995121951219512,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
6,0.4030213036769774,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
7,0.4023842326606192,0.997560975609756,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
8,0.3966416286840671,1.0,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
1,0.6670267828499399,0.8965853658536586,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
2,0.4288941389176903,0.9931707317073172,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
3,0.4196191450444663,0.9946341463414634,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
4,0.4214745135423614,0.9936585365853658,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
5,0.405506946051993,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
6,0.4034256611800775,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
7,0.4061590003385776,0.997560975609756,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
8,0.4032339108862528,0.9970731707317072,EfficientNet_B0,EfficientNet-B0,8,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_08/history.csv
1,0.6553554879165278,0.9102439024390244,EfficientNet_B0,EfficientNet-B0,9,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_09/history.csv
