regime,job_tag,holdout,channel,snr_db,method,repeats,BER_mean,BER_std,BLER_mean,BLER_std,SER_no_denoise_mean,SER_no_denoise_std,SER_after_mean,SER_after_std,SNR_before_dB_mean,SNR_before_dB_std,SNR_after_dB_mean,SNR_after_dB_std,SNR_gain_dB_mean,SNR_gain_dB_std,us_per_frame_mean,us_per_frame_std,BER_mean_std
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,6.0,CNN_RNND,5,0.03510945638020833,0.003048692647424831,0.13751627604166666,0.011334863755732408,0.053975423177083336,0.00023715297906239173,0.054112752278645836,0.0002267526563024773,1.2278990554162639,0.025542822799908205,7.008978124142049,0.08030523962552329,5.781079068725785,0.0561066400789289,1.5754055330792958,0.03732364581188435,3.511e-02 ± 3.05e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,6.0,ML,5,0.01798095703125,0.0005860293281088932,0.04381510416666667,0.001332996882268476,,0.0,,0.0,,0.0,,0.0,,0.0,102.2692220715271,3.9273763483889788,1.798e-02 ± 5.86e-04
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,6.0,PNND,5,0.05495808919270832,0.004417129387023653,0.20123697916666666,0.01338653718090378,0.053975423177083336,0.00023715297906239173,,0.0,1.2278990554162639,0.025542822799908205,,0.0,,0.0,1.3890855768750041,0.05081720517028774,5.496e-02 ± 4.42e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,6.0,Proposed_CA_CNN_RNND,5,0.036118570963541666,0.002081700022522851,0.13644205729166667,0.008937310679934439,0.053975423177083336,0.00023715297906239173,0.054200236002604166,0.00032343594140677205,1.2278990554162639,0.025542822799908205,7.138381662625285,0.11637458801932293,5.910482607209021,0.1054486439514906,1.5915344079076021,0.07913488673756361,3.612e-02 ± 2.08e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,6.0,RNND_Zhu,5,0.040069580078125,0.0007968406586737521,0.138720703125,0.002434343081477111,0.053975423177083336,0.00023715297906239173,0.038039143880208334,0.00037628722464013234,1.2278990554162639,0.025542822799908205,8.910416408623018,0.06668685350773518,7.682517353206757,0.06406998805266084,1.5500949397543689,0.05025557112615479,4.007e-02 ± 7.97e-04
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,6.0,SC,5,0.01807861328125,0.0006181598922323664,0.04407552083333333,0.0013514996209582522,,0.0,,0.0,,0.0,,0.0,,0.0,2.517090024412027,0.11830048295345727,1.808e-02 ± 6.18e-04
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,7.0,CNN_RNND,5,0.02625935872395833,0.001658567902933654,0.10559895833333333,0.008683043229424418,0.04247334798177083,0.00033085349266751224,0.042525227864583334,0.00039743539809878074,2.241744711986233,0.05019232894838264,7.78278092795218,0.0741376128682542,5.541036215965947,0.12343462405488397,1.6166781089547537,0.0708246589292148,2.626e-02 ± 1.66e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,7.0,ML,5,0.011875406901041666,0.0007320191017643771,0.028971354166666668,0.0015916021497076782,,0.0,,0.0,,0.0,,0.0,,0.0,101.4521840014974,3.82299993245447,1.188e-02 ± 7.32e-04
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,7.0,PNND,5,0.041912841796875,0.0037082617856385057,0.157275390625,0.01148493597458331,0.04247334798177083,0.00033085349266751224,,0.0,2.241744711986233,0.05019232894838264,,0.0,,0.0,1.3689997729215975,0.06409427884515649,4.191e-02 ± 3.71e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,7.0,Proposed_CA_CNN_RNND,5,0.02624308268229167,0.001566294856667635,0.1017578125,0.007872583560133359,0.04247334798177083,0.00033085349266751224,0.04253641764322917,0.00027081664046171486,2.241744711986233,0.05019232894838264,8.03734569593371,0.12454737907504865,5.795600983947479,0.14666284772499982,1.5921147792141708,0.07756405064229194,2.624e-02 ± 1.57e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,7.0,RNND_Zhu,5,0.03041178385416667,0.0006128303209110948,0.10782877604166666,0.0026098824399128557,0.04247334798177083,0.00033085349266751224,0.03182474772135417,0.0006252587630464404,2.241744711986233,0.05019232894838264,9.722537331647164,0.06203559981982143,7.48079261966093,0.06633633079957321,1.5643364084401885,0.10003274676262987,3.041e-02 ± 6.13e-04
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,7.0,SC,5,0.011905924479166666,0.0006937707507454366,0.029166666666666667,0.0015056438234049105,,0.0,,0.0,,0.0,,0.0,,0.0,2.520712028323639,0.11312507831951854,1.191e-02 ± 6.94e-04
