repeat,seed,regime,job_tag,holdout,method,train_channels,parameters,selected_epoch,best_validation_log10_BER,training_seconds
3,260819,matched,MATCHED_AWGN,,CNN_RNND,AWGN,27033,7400,-1.6545097544393705,62.41672543401364
3,260819,matched,MATCHED_AWGN,,Proposed_CA_CNN_RNND,AWGN,27417,8000,-1.6356476939885694,63.16178719396703
3,260819,matched,MATCHED_Rayleigh,,PNND,Rayleigh,24904,8000,-0.6821302759180418,43.85729870700743
3,260819,matched,MATCHED_Rayleigh,,RNND_Zhu,Rayleigh,25816,7600,-0.7856915603749643,74.02640728105325
3,260819,matched,MATCHED_Rayleigh,,CNN_RNND,Rayleigh,27033,8000,-0.7537986325312527,63.524025606922805
3,260819,matched,MATCHED_Rayleigh,,Proposed_CA_CNN_RNND,Rayleigh,27417,7800,-0.9914427566007983,63.751259967917576
3,260819,matched,MATCHED_RicianLOS,,PNND,RicianLOS,24904,7600,-1.099066288205423,44.36451144993771
3,260819,matched,MATCHED_RicianLOS,,RNND_Zhu,RicianLOS,25816,7800,-1.1540154092137698,73.95924604707398
3,260819,matched,MATCHED_RicianLOS,,CNN_RNND,RicianLOS,27033,7800,-1.1252270768609896,63.90324181399774
3,260819,matched,MATCHED_RicianLOS,,Proposed_CA_CNN_RNND,RicianLOS,27417,7800,-1.2637217289150744,65.39861244091298
3,260819,matched,MATCHED_Impulsive,,PNND,Impulsive,24904,6800,-0.8549346534820168,49.36509934999049
3,260819,matched,MATCHED_Impulsive,,RNND_Zhu,Impulsive,25816,8000,-1.0604768589383484,79.29957717400976
3,260819,matched,MATCHED_Impulsive,,CNN_RNND,Impulsive,27033,7800,-1.0736064481617213,69.16475189803168
3,260819,matched,MATCHED_Impulsive,,Proposed_CA_CNN_RNND,Impulsive,27417,8000,-1.0859084828411376,69.08188845904078
3,260819,unseen,UNSEEN_Impulsive,Impulsive,PNND,AWGN|Rayleigh|RicianLOS,24904,8000,-1.1600801262268814,46.83131565700751
3,260819,unseen,UNSEEN_Impulsive,Impulsive,RNND_Zhu,AWGN|Rayleigh|RicianLOS,25816,7200,-1.2624563992009092,76.82361508905888
3,260819,unseen,UNSEEN_Impulsive,Impulsive,CNN_RNND,AWGN|Rayleigh|RicianLOS,27033,8000,-1.1701677087102411,66.99508632102516
3,260819,unseen,UNSEEN_Impulsive,Impulsive,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS,27417,7800,-1.3239101507735902,67.64366001496091
4,260820,mixed,MIXED,,PNND,AWGN|Rayleigh|RicianLOS|Impulsive,24904,8000,-1.0919365315335159,47.87876722693909
4,260820,mixed,MIXED,,RNND_Zhu,AWGN|Rayleigh|RicianLOS|Impulsive,25816,7600,-1.2180156322509124,77.79318910895381
4,260820,mixed,MIXED,,CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27033,8000,-1.1245363772353771,68.0313674689969
4,260820,mixed,MIXED,,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27417,8000,-1.2288692985249285,68.6709659070475
4,260820,matched,MATCHED_AWGN,,PNND,AWGN,24904,6600,-1.7680656637803494,45.12631643307395
4,260820,matched,MATCHED_AWGN,,RNND_Zhu,AWGN,25816,7800,-1.8444209395023505,76.2639478520723
4,260820,matched,MATCHED_AWGN,,CNN_RNND,AWGN,27033,7800,-1.6433401773402836,65.5041891480796
4,260820,matched,MATCHED_AWGN,,Proposed_CA_CNN_RNND,AWGN,27417,7800,-1.5903249565627455,66.45121079997625
4,260820,matched,MATCHED_Rayleigh,,PNND,Rayleigh,24904,7600,-0.6453730979316474,46.22905170696322
4,260820,matched,MATCHED_Rayleigh,,RNND_Zhu,Rayleigh,25816,7600,-0.8076626350551948,77.22792003501672
4,260820,matched,MATCHED_Rayleigh,,CNN_RNND,Rayleigh,27033,8000,-0.8028476734543799,65.75127373996656
4,260820,matched,MATCHED_Rayleigh,,Proposed_CA_CNN_RNND,Rayleigh,27417,7800,-1.0362235804307316,66.80993973498698
4,260820,matched,MATCHED_RicianLOS,,PNND,RicianLOS,24904,7800,-1.0934355544311698,46.50453897798434
4,260820,matched,MATCHED_RicianLOS,,RNND_Zhu,RicianLOS,25816,7600,-1.1448747382541469,77.19986865192186
4,260820,matched,MATCHED_RicianLOS,,CNN_RNND,RicianLOS,27033,8000,-1.1001675230685297,65.50579456298146
4,260820,matched,MATCHED_RicianLOS,,Proposed_CA_CNN_RNND,RicianLOS,27417,8000,-1.273395433168648,64.01192227192223
4,260820,matched,MATCHED_Impulsive,,PNND,Impulsive,24904,8000,-0.9325927852998839,46.13257076300215
4,260820,matched,MATCHED_Impulsive,,RNND_Zhu,Impulsive,25816,7000,-1.0529002726595826,75.53696739801671
4,260820,matched,MATCHED_Impulsive,,CNN_RNND,Impulsive,27033,8000,-1.0565792077935006,66.56439368100837
4,260820,matched,MATCHED_Impulsive,,Proposed_CA_CNN_RNND,Impulsive,27417,8000,-1.0902053118758346,66.81593557703309
4,260820,unseen,UNSEEN_Impulsive,Impulsive,PNND,AWGN|Rayleigh|RicianLOS,24904,6600,-1.1874725579198104,44.33784873702098
4,260820,unseen,UNSEEN_Impulsive,Impulsive,RNND_Zhu,AWGN|Rayleigh|RicianLOS,25816,7400,-1.2587553913522964,74.57567569497041
4,260820,unseen,UNSEEN_Impulsive,Impulsive,CNN_RNND,AWGN|Rayleigh|RicianLOS,27033,7600,-1.1606209671094836,62.020022743032314
4,260820,unseen,UNSEEN_Impulsive,Impulsive,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS,27417,7600,-1.2961630728384816,64.96889192203525
